,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Yield,Comp,Al,Cr,Mn,Fe,Co,Ni,Cu,Ta,Ti,V,Zr,Nb,Mo,Zn,W,Sn,Nd,Hf,Si,Temp,Temp (K),VEC,ElectDiff,Atomic Size Diff,Mixing Enthalpy,Mixing Entropy,AVG Shear Modulus,AVG Bulk Modulus,AVG Possion Ratio,Itinerate Electron,Cohesive Energy,Local Size Mismatch,Local Shear Modulus Mismatch,Local Electronegativity Mismatch,Avg Melting Pt,Alloy,Tbreak [oC],Tbreak(K),Solvus Temp. [oC],Diff_Melt_Tbreak,Tbreak (K),YS at Tbreak,Diff,Assigned Point,Criteria Satisfied,Temp Range
10,10,10,10,112,112,250,AlMo0.5NbTa0.5TiZr,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.2,0.1,0,0.0,0,0,0.0,0,1200.0,1473.15,3.9,0.355724613,23.12632853,-0.2,11.85725858,54.8,117.8,0.285,4.0,4.541,0.00439,-0.96,-0.051,2009.82,AlMo0.5NbTa0.5TiZr,789.8,1062.95,"1,896",1220.02,1195.267999,1603.133785,12.45%,10814.070709,3,4
11,11,11,11,113,113,0,AlMo0.5NbTa0.5TiZr,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.2,0.1,0,0.0,0,0,0.0,0,1896.0,2169.15,3.9,0.355724613,23.12632853,-0.2,11.85725858,54.8,117.8,0.285,4.0,4.541,0.00439,-0.96,-0.051,2009.82,AlMo0.5NbTa0.5TiZr,789.8,1062.95,"1,896",1220.02,1195.267999,1603.133785,12.45%,10814.070709,3,4
12,12,12,12,0,0,1637,HfMoNbTaTiWZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.142857143,0.0,0.142857143,0.142857143,0.142857143,0,0.142857143,0,0,0.142857143,0,25.0,298.15,5.000000005,0.381345631,6.001545014,-3.591836742,16.17829699,84.42857151,174.857143,0.342857143,5.000000005,6.178571435,-0.001428571,-4.000000008,-0.076326531,2782.84286,HfMoNbTaTiWZr,652.0,925.15,"2,471",2130.84286,1611.214287,632.7070385,74.16%,7305.577633499999,3,5
13,13,13,13,1,1,1065,HfMoNbTaTiWZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.142857143,0.0,0.142857143,0.142857143,0.142857143,0,0.142857143,0,0,0.142857143,0,800.0,1073.15,5.000000005,0.381345631,6.001545014,-3.591836742,16.17829699,84.42857151,174.857143,0.342857143,5.000000005,6.178571435,-0.001428571,-4.000000008,-0.076326531,2782.84286,HfMoNbTaTiWZr,652.0,925.15,"2,471",2130.84286,1611.214287,632.7070385,74.16%,7305.577633499999,3,5
14,14,14,14,2,2,736,HfMoNbTaTiWZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.142857143,0.0,0.142857143,0.142857143,0.142857143,0,0.142857143,0,0,0.142857143,0,1000.0,1273.15,5.000000005,0.381345631,6.001545014,-3.591836742,16.17829699,84.42857151,174.857143,0.342857143,5.000000005,6.178571435,-0.001428571,-4.000000008,-0.076326531,2782.84286,HfMoNbTaTiWZr,652.0,925.15,"2,471",2130.84286,1611.214287,632.7070385,74.16%,7305.577633499999,3,5
15,15,15,15,3,3,703,HfMoNbTaTiWZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.142857143,0.0,0.142857143,0.142857143,0.142857143,0,0.142857143,0,0,0.142857143,0,1200.0,1473.15,5.000000005,0.381345631,6.001545014,-3.591836742,16.17829699,84.42857151,174.857143,0.342857143,5.000000005,6.178571435,-0.001428571,-4.000000008,-0.076326531,2782.84286,HfMoNbTaTiWZr,652.0,925.15,"2,471",2130.84286,1611.214287,632.7070385,74.16%,7305.577633499999,3,5
16,16,16,16,4,4,0,HfMoNbTaTiWZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.142857143,0.0,0.142857143,0.142857143,0.142857143,0,0.142857143,0,0,0.142857143,0,2470.71,2743.86,5.000000005,0.381345631,6.001545014,-3.591836742,16.17829699,84.42857151,174.857143,0.342857143,5.000000005,6.178571435,-0.001428571,-4.000000008,-0.076326531,2782.84286,HfMoNbTaTiWZr,652.0,925.15,"2,471",2130.84286,1611.214287,632.7070385,74.16%,7305.577633499999,3,5
17,17,17,17,88,88,2035,Al0.333Nb0.667Ta0.533TiV0.133Zr0.667,0.099909991,0.0,0.0,0.0,0.0,0.0,0.0,0.159915992,0.300030003,0.03990399,0.200120012,0.200120012,0.0,0,0.0,0,0,0.0,0,25.0,298.15,4.200420042,0.170993541,11.68936122,1.416035397,11.86245082,61.48424846,124.2028203,0.325235524,4.360336034,4.869723972,-0.010633879,1.127511239,-0.00075752,2215.569758,Al0.333Nb0.667Ta0.533TiV0.133Zr0.667,800.0,1073.15,"1,992",1415.569758,920.7634679,1711.988155,14.20%,6056.7279329,3,3
18,18,18,18,89,89,796,Al0.333Nb0.667Ta0.533TiV0.133Zr0.667,0.099909991,0.0,0.0,0.0,0.0,0.0,0.0,0.159915992,0.300030003,0.03990399,0.200120012,0.200120012,0.0,0,0.0,0,0,0.0,0,800.0,1073.15,4.200420042,0.170993541,11.68936122,1.416035397,11.86245082,61.48424846,124.2028203,0.325235524,4.360336034,4.869723972,-0.010633879,1.127511239,-0.00075752,2215.569758,Al0.333Nb0.667Ta0.533TiV0.133Zr0.667,800.0,1073.15,"1,992",1415.569758,920.7634679,1711.988155,14.20%,6056.7279329,3,3
19,19,19,19,90,90,220,Al0.333Nb0.667Ta0.533TiV0.133Zr0.667,0.099909991,0.0,0.0,0.0,0.0,0.0,0.0,0.159915992,0.300030003,0.03990399,0.200120012,0.200120012,0.0,0,0.0,0,0,0.0,0,1000.0,1273.15,4.200420042,0.170993541,11.68936122,1.416035397,11.86245082,61.48424846,124.2028203,0.325235524,4.360336034,4.869723972,-0.010633879,1.127511239,-0.00075752,2215.569758,Al0.333Nb0.667Ta0.533TiV0.133Zr0.667,800.0,1073.15,"1,992",1415.569758,920.7634679,1711.988155,14.20%,6056.7279329,3,3
20,20,20,20,91,91,0,Al0.333Nb0.667Ta0.533TiV0.133Zr0.667,0.099909991,0.0,0.0,0.0,0.0,0.0,0.0,0.159915992,0.300030003,0.03990399,0.200120012,0.200120012,0.0,0,0.0,0,0,0.0,0,1992.04,2265.19,4.200420042,0.170993541,11.68936122,1.416035397,11.86245082,61.48424846,124.2028203,0.325235524,4.360336034,4.869723972,-0.010633879,1.127511239,-0.00075752,2215.569758,Al0.333Nb0.667Ta0.533TiV0.133Zr0.667,800.0,1073.15,"1,992",1415.569758,920.7634679,1711.988155,14.20%,6056.7279329,3,3
21,21,21,21,72,72,1841,Al0.4Hf0.6NbTaTiZr,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0,0.0,0,0,0.12,0,23.0,296.15,4.28,0.156843871,9.677097593,2.272,12.82003797,68.2,128.0,0.3324,4.24,5.1416,-0.01664,3.248,0.01488,2377.24,Al0.4Hf0.6NbTaTiZr,845.2,1118.35,"2,124",1532.04,930.575148,1569.145821,16.79%,5638.012611,3,3
22,22,22,22,73,73,796,Al0.4Hf0.6NbTaTiZr,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0,0.0,0,0,0.12,0,800.0,1073.15,4.28,0.156843871,9.677097593,2.272,12.82003797,68.2,128.0,0.3324,4.24,5.1416,-0.01664,3.248,0.01488,2377.24,Al0.4Hf0.6NbTaTiZr,845.2,1118.35,"2,124",1532.04,930.575148,1569.145821,16.79%,5638.012611,3,3
23,23,23,23,74,74,298,Al0.4Hf0.6NbTaTiZr,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0,0.0,0,0,0.12,0,1000.0,1273.15,4.28,0.156843871,9.677097593,2.272,12.82003797,68.2,128.0,0.3324,4.24,5.1416,-0.01664,3.248,0.01488,2377.24,Al0.4Hf0.6NbTaTiZr,845.2,1118.35,"2,124",1532.04,930.575148,1569.145821,16.79%,5638.012611,3,3
24,24,24,24,75,75,89,Al0.4Hf0.6NbTaTiZr,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0,0.0,0,0,0.12,0,1200.0,1473.15,4.28,0.156843871,9.677097593,2.272,12.82003797,68.2,128.0,0.3324,4.24,5.1416,-0.01664,3.248,0.01488,2377.24,Al0.4Hf0.6NbTaTiZr,845.2,1118.35,"2,124",1532.04,930.575148,1569.145821,16.79%,5638.012611,3,3
25,25,25,25,76,76,0,Al0.4Hf0.6NbTaTiZr,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0,0.0,0,0,0.12,0,2124.0,2397.15,4.28,0.156843871,9.677097593,2.272,12.82003797,68.2,128.0,0.3324,4.24,5.1416,-0.01664,3.248,0.01488,2377.24,Al0.4Hf0.6NbTaTiZr,845.2,1118.35,"2,124",1532.04,930.575148,1569.145821,16.79%,5638.012611,3,3
26,26,26,26,317,317,1595,CrMo0.5NbTa0.5TiZr,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.2,0.1,0,0.0,0,0,0.0,0,25.0,298.15,5.1,0.219809008,7.986019711,-4.92,14.53343194,77.8,149.8,0.327,5.2,5.971,-0.031814,6.48,-0.0374,2500.45,CrMo0.5NbTa0.5TiZr,911.1,1184.25,"2,145",1589.35,1171.327402,924.4120567,1.09%,6717.7997422,3,4
27,27,27,27,318,318,983,CrMo0.5NbTa0.5TiZr,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.2,0.1,0,0.0,0,0,0.0,0,800.0,1073.15,5.1,0.219809008,7.986019711,-4.92,14.53343194,77.8,149.8,0.327,5.2,5.971,-0.031814,6.48,-0.0374,2500.45,CrMo0.5NbTa0.5TiZr,911.1,1184.25,"2,145",1589.35,1171.327402,924.4120567,1.09%,6717.7997422,3,4
28,28,28,28,319,319,546,CrMo0.5NbTa0.5TiZr,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.2,0.1,0,0.0,0,0,0.0,0,1000.0,1273.15,5.1,0.219809008,7.986019711,-4.92,14.53343194,77.8,149.8,0.327,5.2,5.971,-0.031814,6.48,-0.0374,2500.45,CrMo0.5NbTa0.5TiZr,911.1,1184.25,"2,145",1589.35,1171.327402,924.4120567,1.09%,6717.7997422,3,4
29,29,29,29,320,320,170,CrMo0.5NbTa0.5TiZr,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.2,0.1,0,0.0,0,0,0.0,0,1200.0,1473.15,5.1,0.219809008,7.986019711,-4.92,14.53343194,77.8,149.8,0.327,5.2,5.971,-0.031814,6.48,-0.0374,2500.45,CrMo0.5NbTa0.5TiZr,911.1,1184.25,"2,145",1589.35,1171.327402,924.4120567,1.09%,6717.7997422,3,4
30,30,30,30,321,321,0,CrMo0.5NbTa0.5TiZr,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.2,0.1,0,0.0,0,0,0.0,0,2145.0,2418.15,5.1,0.219809008,7.986019711,-4.92,14.53343194,77.8,149.8,0.327,5.2,5.971,-0.031814,6.48,-0.0374,2500.45,CrMo0.5NbTa0.5TiZr,911.1,1184.25,"2,145",1589.35,1171.327402,924.4120567,1.09%,6717.7997422,3,4
31,31,31,31,290,290,1835,Al0.2NbTaTiV,0.047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.238095238,0.238095238,0.238095238,0.0,0.238095238,0.0,0,0.0,0,0,0.0,0,25.0,298.15,4.76190476,0.088049262,6.029962613,-0.226757369,11.36313594,72.85714283,152.3809523,0.35,4.999999998,5.528571426,0.005102041,2.947845803,-0.022108844,2485.142856,Al0.2NbTaTiV,872.2,1145.35,"2,198",1612.942856,1119.990137,895.008643,2.21%,6490.041995,3,4
32,32,32,32,291,291,783,Al0.2NbTaTiV,0.047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.238095238,0.238095238,0.238095238,0.0,0.238095238,0.0,0,0.0,0,0,0.0,0,900.0,1173.15,4.76190476,0.088049262,6.029962613,-0.226757369,11.36313594,72.85714283,152.3809523,0.35,4.999999998,5.528571426,0.005102041,2.947845803,-0.022108844,2485.142856,Al0.2NbTaTiV,872.2,1145.35,"2,198",1612.942856,1119.990137,895.008643,2.21%,6490.041995,3,4
33,33,33,33,292,292,350,Al0.2NbTaTiV,0.047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.238095238,0.238095238,0.238095238,0.0,0.238095238,0.0,0,0.0,0,0,0.0,0,1000.0,1273.15,4.76190476,0.088049262,6.029962613,-0.226757369,11.36313594,72.85714283,152.3809523,0.35,4.999999998,5.528571426,0.005102041,2.947845803,-0.022108844,2485.142856,Al0.2NbTaTiV,872.2,1145.35,"2,198",1612.942856,1119.990137,895.008643,2.21%,6490.041995,3,4
34,34,34,34,293,293,270,Al0.2NbTaTiV,0.047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.238095238,0.238095238,0.238095238,0.0,0.238095238,0.0,0,0.0,0,0,0.0,0,1100.0,1373.15,4.76190476,0.088049262,6.029962613,-0.226757369,11.36313594,72.85714283,152.3809523,0.35,4.999999998,5.528571426,0.005102041,2.947845803,-0.022108844,2485.142856,Al0.2NbTaTiV,872.2,1145.35,"2,198",1612.942856,1119.990137,895.008643,2.21%,6490.041995,3,4
35,35,35,35,294,294,142,Al0.2NbTaTiV,0.047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.238095238,0.238095238,0.238095238,0.0,0.238095238,0.0,0,0.0,0,0,0.0,0,1200.0,1473.15,4.76190476,0.088049262,6.029962613,-0.226757369,11.36313594,72.85714283,152.3809523,0.35,4.999999998,5.528571426,0.005102041,2.947845803,-0.022108844,2485.142856,Al0.2NbTaTiV,872.2,1145.35,"2,198",1612.942856,1119.990137,895.008643,2.21%,6490.041995,3,4
36,36,36,36,295,295,0,Al0.2NbTaTiV,0.047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.238095238,0.238095238,0.238095238,0.0,0.238095238,0.0,0,0.0,0,0,0.0,0,2197.85,2471.0,4.76190476,0.088049262,6.029962613,-0.226757369,11.36313594,72.85714283,152.3809523,0.35,4.999999998,5.528571426,0.005102041,2.947845803,-0.022108844,2485.142856,Al0.2NbTaTiV,872.2,1145.35,"2,198",1612.942856,1119.990137,895.008643,2.21%,6490.041995,3,4
37,37,37,37,280,280,1070,AlCrMoTi,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0,0.0,0,0,0.0,0,400.0,673.15,4.0,0.451331364,29.56838163,-2.75,8.644238489,55.75,125.0,0.22,4.0,4.75,-0.0142375,6.375,-0.0625,1822.6125,AlCrMoTi,873.6,1146.75,"1,715",949.0125,1195.220111,839.7951,4.23%,6233.990711,3,4
38,38,38,38,281,281,1020,AlCrMoTi,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0,0.0,0,0,0.0,0,600.0,873.15,4.0,0.451331364,29.56838163,-2.75,8.644238489,55.75,125.0,0.22,4.0,4.75,-0.0142375,6.375,-0.0625,1822.6125,AlCrMoTi,873.6,1146.75,"1,715",949.0125,1195.220111,839.7951,4.23%,6233.990711,3,4
39,39,39,39,282,282,875,AlCrMoTi,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0,0.0,0,0,0.0,0,800.0,1073.15,4.0,0.451331364,29.56838163,-2.75,8.644238489,55.75,125.0,0.22,4.0,4.75,-0.0142375,6.375,-0.0625,1822.6125,AlCrMoTi,873.6,1146.75,"1,715",949.0125,1195.220111,839.7951,4.23%,6233.990711,3,4
40,40,40,40,283,283,375,AlCrMoTi,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0,0.0,0,0,0.0,0,1000.0,1273.15,4.0,0.451331364,29.56838163,-2.75,8.644238489,55.75,125.0,0.22,4.0,4.75,-0.0142375,6.375,-0.0625,1822.6125,AlCrMoTi,873.6,1146.75,"1,715",949.0125,1195.220111,839.7951,4.23%,6233.990711,3,4
41,41,41,41,284,284,100,AlCrMoTi,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0,0.0,0,0,0.0,0,1200.0,1473.15,4.0,0.451331364,29.56838163,-2.75,8.644238489,55.75,125.0,0.22,4.0,4.75,-0.0142375,6.375,-0.0625,1822.6125,AlCrMoTi,873.6,1146.75,"1,715",949.0125,1195.220111,839.7951,4.23%,6233.990711,3,4
42,42,42,42,285,285,0,AlCrMoTi,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0,0.0,0,0,0.0,0,1715.0,1988.15,4.0,0.451331364,29.56838163,-2.75,8.644238489,55.75,125.0,0.22,4.0,4.75,-0.0142375,6.375,-0.0625,1822.6125,AlCrMoTi,873.6,1146.75,"1,715",949.0125,1195.220111,839.7951,4.23%,6233.990711,3,4
43,43,43,43,38,38,1290,AlNbTiVZr0.1,0.243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243902439,0.243902439,0.024390244,0.243902439,0.0,0,0.0,0,0,0.0,0,25.0,298.15,3.756097561,0.339315502,28.47469524,-0.237953599,9.336658762,46.17073171,109.6097561,0.283902439,3.756097561,4.463170732,-0.005294468,-7.596668649,-0.005710886,1728.60122,AlNbTiVZr0.1,600.0,873.15,"1,683",1128.60122,1192.017496,820.3834851,36.52%,6114.318406599999,3,4
44,44,44,44,39,39,975,AlNbTiVZr0.1,0.243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243902439,0.243902439,0.024390244,0.243902439,0.0,0,0.0,0,0,0.0,0,600.0,873.15,3.756097561,0.339315502,28.47469524,-0.237953599,9.336658762,46.17073171,109.6097561,0.283902439,3.756097561,4.463170732,-0.005294468,-7.596668649,-0.005710886,1728.60122,AlNbTiVZr0.1,600.0,873.15,"1,683",1128.60122,1192.017496,820.3834851,36.52%,6114.318406599999,3,4
45,45,45,45,40,40,865,AlNbTiVZr0.1,0.243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243902439,0.243902439,0.024390244,0.243902439,0.0,0,0.0,0,0,0.0,0,800.0,1073.15,3.756097561,0.339315502,28.47469524,-0.237953599,9.336658762,46.17073171,109.6097561,0.283902439,3.756097561,4.463170732,-0.005294468,-7.596668649,-0.005710886,1728.60122,AlNbTiVZr0.1,600.0,873.15,"1,683",1128.60122,1192.017496,820.3834851,36.52%,6114.318406599999,3,4
46,46,46,46,41,41,0,AlNbTiVZr0.1,0.243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243902439,0.243902439,0.024390244,0.243902439,0.0,0,0.0,0,0,0.0,0,1683.0,1956.15,3.756097561,0.339315502,28.47469524,-0.237953599,9.336658762,46.17073171,109.6097561,0.283902439,3.756097561,4.463170732,-0.005294468,-7.596668649,-0.005710886,1728.60122,AlNbTiVZr0.1,600.0,873.15,"1,683",1128.60122,1192.017496,820.3834851,36.52%,6114.318406599999,3,4
47,47,47,47,147,147,1700,AlCr1.5NbTiV,0.181818182,0.272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.181818182,0.181818182,0.0,0.181818182,0.0,0,0.0,0,0,0.0,0,25.0,298.15,4.363636368,0.268429776,21.3020234,-3.305785131,10.67694273,65.18181825,123.6363638,0.262727273,4.363636368,5.193636369,-0.025919008,3.851239677,0.006446281,1918.940911,AlCr1.5NbTiV,778.3,1051.45,"1,741",1140.640911,951.4932143,1334.331275,9.51%,4954.4870393,3,3
48,48,48,48,148,148,1370,AlCr1.5NbTiV,0.181818182,0.272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.181818182,0.181818182,0.0,0.181818182,0.0,0,0.0,0,0,0.0,0,600.0,873.15,4.363636368,0.268429776,21.3020234,-3.305785131,10.67694273,65.18181825,123.6363638,0.262727273,4.363636368,5.193636369,-0.025919008,3.851239677,0.006446281,1918.940911,AlCr1.5NbTiV,778.3,1051.45,"1,741",1140.640911,951.4932143,1334.331275,9.51%,4954.4870393,3,3
49,49,49,49,149,149,970,AlCr1.5NbTiV,0.181818182,0.272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.181818182,0.181818182,0.0,0.181818182,0.0,0,0.0,0,0,0.0,0,800.0,1073.15,4.363636368,0.268429776,21.3020234,-3.305785131,10.67694273,65.18181825,123.6363638,0.262727273,4.363636368,5.193636369,-0.025919008,3.851239677,0.006446281,1918.940911,AlCr1.5NbTiV,778.3,1051.45,"1,741",1140.640911,951.4932143,1334.331275,9.51%,4954.4870393,3,3
50,50,50,50,150,150,75,AlCr1.5NbTiV,0.181818182,0.272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.181818182,0.181818182,0.0,0.181818182,0.0,0,0.0,0,0,0.0,0,1000.0,1273.15,4.363636368,0.268429776,21.3020234,-3.305785131,10.67694273,65.18181825,123.6363638,0.262727273,4.363636368,5.193636369,-0.025919008,3.851239677,0.006446281,1918.940911,AlCr1.5NbTiV,778.3,1051.45,"1,741",1140.640911,951.4932143,1334.331275,9.51%,4954.4870393,3,3
51,51,51,51,151,151,0,AlCr1.5NbTiV,0.181818182,0.272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.181818182,0.181818182,0.0,0.181818182,0.0,0,0.0,0,0,0.0,0,1741.0,2014.15,4.363636368,0.268429776,21.3020234,-3.305785131,10.67694273,65.18181825,123.6363638,0.262727273,4.363636368,5.193636369,-0.025919008,3.851239677,0.006446281,1918.940911,AlCr1.5NbTiV,778.3,1051.45,"1,741",1140.640911,951.4932143,1334.331275,9.51%,4954.4870393,3,3
