ID,Temp,Yield,Comp,Al,Cr,Mn,Fe,Co,Ni,Cu,Ta,Ti,V,Zr,Nb,Mo,Zn,W,Sn,Nd,Hf,Si,VEC,ElectDiff,Atomic Size Diff,Mixing Enthalpy,Mixing Entropy,AVG Shear Modulus,AVG Bulk Modulus,AVG Possion Ratio,Itinerate Electron,Cohesive Energy,Gamma,Local Size Mismatch,Local Shear Modulus Mismatch,Local Electronegativity Mismatch,Avg Melting Pt
17,23,1841,Al0.4Hf0.6NbTaTiZr,0.08,0,0,0,0,0,0,0.2,0.2,0,0.2,0.2,0,0,0,0,0,0.12,0,4.52,0.115838508,4.701925787,-6.3296,14.4999506,70.28,134.08,0.3588,4.48,5.4128,1.129291509,-0.02173088,-0.2944,0.025376,2473.732
18,800,796,Al0.4Hf0.6NbTaTiZr,0.08,0,0,0,0,0,0,0.2,0.2,0,0.2,0.2,0,0,0,0,0,0.12,0,4.52,0.115838508,4.701925787,-6.3296,14.4999506,70.28,134.08,0.3588,4.48,5.4128,1.129291509,-0.02173088,-0.2944,0.025376,2473.732
19,1000,298,Al0.4Hf0.6NbTaTiZr,0.08,0,0,0,0,0,0,0.2,0.2,0,0.2,0.2,0,0,0,0,0,0.12,0,4.52,0.115838508,4.701925787,-6.3296,14.4999506,70.28,134.08,0.3588,4.48,5.4128,1.129291509,-0.02173088,-0.2944,0.025376,2473.732
20,1200,89,Al0.4Hf0.6NbTaTiZr,0.08,0,0,0,0,0,0,0.2,0.2,0,0.2,0.2,0,0,0,0,0,0.12,0,4.52,0.115838508,4.701925787,-6.3296,14.4999506,70.28,134.08,0.3588,4.48,5.4128,1.129291509,-0.02173088,-0.2944,0.025376,2473.732
21,2124,0,Al0.4Hf0.6NbTaTiZr,0.08,0,0,0,0,0,0,0.2,0.2,0,0.2,0.2,0,0,0,0,0,0.12,0,4.52,0.115838508,4.701925787,-6.3296,14.4999506,70.28,134.08,0.3588,4.48,5.4128,1.129291509,-0.02173088,-0.2944,0.025376,2473.732
22,25,1340,Al0.5CrNbTi2V0.5,0.1,0.2,0,0,0,0,0,0,0.4,0.1,0,0.2,0,0,0,0,0,0,0,4.8,0.046861498,5.574919479,-10.96,12.22830167,67.9,133.6,0.336,4.8,5.693,1.181138601,-0.021855,-2.51,0.0066,2156.05
23,600,930,Al0.5CrNbTi2V0.5,0.1,0.2,0,0,0,0,0,0,0.4,0.1,0,0.2,0,0,0,0,0,0,0,4.8,0.046861498,5.574919479,-10.96,12.22830167,67.9,133.6,0.336,4.8,5.693,1.181138601,-0.021855,-2.51,0.0066,2156.05
24,800,445,Al0.5CrNbTi2V0.5,0.1,0.2,0,0,0,0,0,0,0.4,0.1,0,0.2,0,0,0,0,0,0,0,4.8,0.046861498,5.574919479,-10.96,12.22830167,67.9,133.6,0.336,4.8,5.693,1.181138601,-0.021855,-2.51,0.0066,2156.05
25,1000,90,Al0.5CrNbTi2V0.5,0.1,0.2,0,0,0,0,0,0,0.4,0.1,0,0.2,0,0,0,0,0,0,0,4.8,0.046861498,5.574919479,-10.96,12.22830167,67.9,133.6,0.336,4.8,5.693,1.181138601,-0.021855,-2.51,0.0066,2156.05
26,1801,0,Al0.5CrNbTi2V0.5,0.1,0.2,0,0,0,0,0,0,0.4,0.1,0,0.2,0,0,0,0,0,0,0,4.8,0.046861498,5.574919479,-10.96,12.22830167,67.9,133.6,0.336,4.8,5.693,1.181138601,-0.021855,-2.51,0.0066,2156.05
27,25,2350,Al0.5Mo0.5NbTa0.5TiZr,0.111111111,0,0,0,0,0,0,0.111111111,0.222222222,0,0.222222222,0.222222222,0.111111111,0,0,0,0,0,0,4.666666662,0.229174579,5.079455055,-10.5185185,14.42584136,63.77777771,139.3333332,0.353333333,4.777777773,5.422222217,1.189637654,0.001106173,-5.382716039,-0.059506173,2367.149998
28,1000,579,Al0.5Mo0.5NbTa0.5TiZr,0.111111111,0,0,0,0,0,0,0.111111111,0.222222222,0,0.222222222,0.222222222,0.111111111,0,0,0,0,0,0,4.666666662,0.229174579,5.079455055,-10.5185185,14.42584136,63.77777771,139.3333332,0.353333333,4.777777773,5.422222217,1.189637654,0.001106173,-5.382716039,-0.059506173,2367.149998
29,2033,0,Al0.5Mo0.5NbTa0.5TiZr,0.111111111,0,0,0,0,0,0,0.111111111,0.222222222,0,0.222222222,0.222222222,0.111111111,0,0,0,0,0,0,4.666666662,0.229174579,5.079455055,-10.5185185,14.42584136,63.77777771,139.3333332,0.353333333,4.777777773,5.422222217,1.189637654,0.001106173,-5.382716039,-0.059506173,2367.149998
30,25,2035,Al0.5NbTa0.8Ti1.5V0.2Zr,0.1,0,0,0,0,0,0,0.16,0.3,0.04,0.2,0.2,0,0,0,0,0,0,0,4.5,0.099721412,4.667694148,-8.6176,13.77790745,64.08,131.8,0.3582,4.66,5.2082,1.211212441,-0.014599,-2.6728,0.008828,2336.05
31,800,796,Al0.5NbTa0.8Ti1.5V0.2Zr,0.1,0,0,0,0,0,0,0.16,0.3,0.04,0.2,0.2,0,0,0,0,0,0,0,4.5,0.099721412,4.667694148,-8.6176,13.77790745,64.08,131.8,0.3582,4.66,5.2082,1.211212441,-0.014599,-2.6728,0.008828,2336.05
32,1000,220,Al0.5NbTa0.8Ti1.5V0.2Zr,0.1,0,0,0,0,0,0,0.16,0.3,0.04,0.2,0.2,0,0,0,0,0,0,0,4.5,0.099721412,4.667694148,-8.6176,13.77790745,64.08,131.8,0.3582,4.66,5.2082,1.211212441,-0.014599,-2.6728,0.008828,2336.05
33,1992,0,Al0.5NbTa0.8Ti1.5V0.2Zr,0.1,0,0,0,0,0,0,0.16,0.3,0.04,0.2,0.2,0,0,0,0,0,0,0,4.5,0.099721412,4.667694148,-8.6176,13.77790745,64.08,131.8,0.3582,4.66,5.2082,1.211212441,-0.014599,-2.6728,0.008828,2336.05
34,-196,964,Al0.6CoCrFeNi,0.130434783,0.217391304,0,0.217391304,0.217391304,0.217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,7.565217381,0.114596357,4.895056152,-9.867674859,13.24158918,79.04347815,159.9130433,0.286521739,7.565217381,6.8247826,1.16904452,0.020810964,-1.058601163,-0.061625709,2022.454345
35,25,786,Al0.6CoCrFeNi,0.130434783,0.217391304,0,0.217391304,0.217391304,0.217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,7.565217381,0.114596357,4.895056152,-9.867674859,13.24158918,79.04347815,159.9130433,0.286521739,7.565217381,6.8247826,1.16904452,0.020810964,-1.058601163,-0.061625709,2022.454345
36,900,120,Al0.6CoCrFeNi,0.130434783,0.217391304,0,0.217391304,0.217391304,0.217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,7.565217381,0.114596357,4.895056152,-9.867674859,13.24158918,79.04347815,159.9130433,0.286521739,7.565217381,6.8247826,1.16904452,0.020810964,-1.058601163,-0.061625709,2022.454345
37,1000,90,Al0.6CoCrFeNi,0.130434783,0.217391304,0,0.217391304,0.217391304,0.217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,7.565217381,0.114596357,4.895056152,-9.867674859,13.24158918,79.04347815,159.9130433,0.286521739,7.565217381,6.8247826,1.16904452,0.020810964,-1.058601163,-0.061625709,2022.454345
38,1100,50,Al0.6CoCrFeNi,0.130434783,0.217391304,0,0.217391304,0.217391304,0.217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,7.565217381,0.114596357,4.895056152,-9.867674859,13.24158918,79.04347815,159.9130433,0.286521739,7.565217381,6.8247826,1.16904452,0.020810964,-1.058601163,-0.061625709,2022.454345
39,1200,30,Al0.6CoCrFeNi,0.130434783,0.217391304,0,0.217391304,0.217391304,0.217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,7.565217381,0.114596357,4.895056152,-9.867674859,13.24158918,79.04347815,159.9130433,0.286521739,7.565217381,6.8247826,1.16904452,0.020810964,-1.058601163,-0.061625709,2022.454345
40,1476.35,0,Al0.6CoCrFeNi,0.130434783,0.217391304,0,0.217391304,0.217391304,0.217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,7.565217381,0.114596357,4.895056152,-9.867674859,13.24158918,79.04347815,159.9130433,0.286521739,7.565217381,6.8247826,1.16904452,0.020810964,-1.058601163,-0.061625709,2022.454345
41,25,900,Al10Mo10Nb20Ti40V20,0.1,0,0,0,0,0,0,0,0.4,0.2,0,0.2,0.1,0,0,0,0,0,0,4.7,0.177395039,3.092930855,-9,12.22830167,55,140.6,0.362,4.7,5.568,1.096619629,0.006183,-10.46,-0.0603,2173.35
42,800,520,Al10Mo10Nb20Ti40V20,0.1,0,0,0,0,0,0,0,0.4,0.2,0,0.2,0.1,0,0,0,0,0,0,4.7,0.177395039,3.092930855,-9,12.22830167,55,140.6,0.362,4.7,5.568,1.096619629,0.006183,-10.46,-0.0603,2173.35
43,1000,155,Al10Mo10Nb20Ti40V20,0.1,0,0,0,0,0,0,0,0.4,0.2,0,0.2,0.1,0,0,0,0,0,0,4.7,0.177395039,3.092930855,-9,12.22830167,55,140.6,0.362,4.7,5.568,1.096619629,0.006183,-10.46,-0.0603,2173.35
44,1872.93,0,Al10Mo10Nb20Ti40V20,0.1,0,0,0,0,0,0,0,0.4,0.2,0,0.2,0.1,0,0,0,0,0,0,4.7,0.177395039,3.092930855,-9,12.22830167,55,140.6,0.362,4.7,5.568,1.096619629,0.006183,-10.46,-0.0603,2173.35
45,22,1750,Al15Cr20Nb15Ti40Zr10,0.15,0.2,0,0,0,0,0,0,0.4,0,0.1,0.15,0,0,0,0,0,0,0,4.55,0.089770541,6.835318212,-15.98,12.36955573,63.55,122.3,0.3295,4.55,5.3695,1.303637986,-0.03189825,-2.3125,0.025875,2073.35
46,600,1290,Al15Cr20Nb15Ti40Zr10,0.15,0.2,0,0,0,0,0,0,0.4,0,0.1,0.15,0,0,0,0,0,0,0,4.55,0.089770541,6.835318212,-15.98,12.36955573,63.55,122.3,0.3295,4.55,5.3695,1.303637986,-0.03189825,-2.3125,0.025875,2073.35
47,700,625,Al15Cr20Nb15Ti40Zr10,0.15,0.2,0,0,0,0,0,0,0.4,0,0.1,0.15,0,0,0,0,0,0,0,4.55,0.089770541,6.835318212,-15.98,12.36955573,63.55,122.3,0.3295,4.55,5.3695,1.303637986,-0.03189825,-2.3125,0.025875,2073.35
48,800,300,Al15Cr20Nb15Ti40Zr10,0.15,0.2,0,0,0,0,0,0,0.4,0,0.1,0.15,0,0,0,0,0,0,0,4.55,0.089770541,6.835318212,-15.98,12.36955573,63.55,122.3,0.3295,4.55,5.3695,1.303637986,-0.03189825,-2.3125,0.025875,2073.35
49,1000,60,Al15Cr20Nb15Ti40Zr10,0.15,0.2,0,0,0,0,0,0,0.4,0,0.1,0.15,0,0,0,0,0,0,0,4.55,0.089770541,6.835318212,-15.98,12.36955573,63.55,122.3,0.3295,4.55,5.3695,1.303637986,-0.03189825,-2.3125,0.025875,2073.35
50,1704.7,0,Al15Cr20Nb15Ti40Zr10,0.15,0.2,0,0,0,0,0,0,0.4,0,0.1,0.15,0,0,0,0,0,0,0,4.55,0.089770541,6.835318212,-15.98,12.36955573,63.55,122.3,0.3295,4.55,5.3695,1.303637986,-0.03189825,-2.3125,0.025875,2073.35
51,25,971,Al15Mo10Nb20Ti35V20,0.15,0,0,0,0,0,0,0,0.35,0.2,0,0.2,0.1,0,0,0,0,0,0,4.65,0.176093015,3.095410805,-11.88,12.6874917,54.1,138.9,0.3605,4.65,5.4995,1.096619629,0.00624675,-11.135,-0.057675,2136.6
52,800,550,Al15Mo10Nb20Ti35V20,0.15,0,0,0,0,0,0,0,0.35,0.2,0,0.2,0.1,0,0,0,0,0,0,4.65,0.176093015,3.095410805,-11.88,12.6874917,54.1,138.9,0.3605,4.65,5.4995,1.096619629,0.00624675,-11.135,-0.057675,2136.6
53,1000,160,Al15Mo10Nb20Ti35V20,0.15,0,0,0,0,0,0,0,0.35,0.2,0,0.2,0.1,0,0,0,0,0,0,4.65,0.176093015,3.095410805,-11.88,12.6874917,54.1,138.9,0.3605,4.65,5.4995,1.096619629,0.00624675,-11.135,-0.057675,2136.6
54,1822.55,0,Al15Mo10Nb20Ti35V20,0.15,0,0,0,0,0,0,0,0.35,0.2,0,0.2,0.1,0,0,0,0,0,0,4.65,0.176093015,3.095410805,-11.88,12.6874917,54.1,138.9,0.3605,4.65,5.4995,1.096619629,0.00624675,-11.135,-0.057675,2136.6
55,25,1187,Al20Mo10Nb20Ti30V20,0.2,0,0,0,0,0,0,0,0.3,0.2,0,0.2,0.1,0,0,0,0,0,0,4.6,0.17471119,3.097876459,-14.16,12.9458383,53.2,137.2,0.359,4.6,5.431,1.096619629,0.006302,-11.72,-0.0554,2099.85
56,800,624,Al20Mo10Nb20Ti30V20,0.2,0,0,0,0,0,0,0,0.3,0.2,0,0.2,0.1,0,0,0,0,0,0,4.6,0.17471119,3.097876459,-14.16,12.9458383,53.2,137.2,0.359,4.6,5.431,1.096619629,0.006302,-11.72,-0.0554,2099.85
57,1000,180,Al20Mo10Nb20Ti30V20,0.2,0,0,0,0,0,0,0,0.3,0.2,0,0.2,0.1,0,0,0,0,0,0,4.6,0.17471119,3.097876459,-14.16,12.9458383,53.2,137.2,0.359,4.6,5.431,1.096619629,0.006302,-11.72,-0.0554,2099.85
58,1772.16,0,Al20Mo10Nb20Ti30V20,0.2,0,0,0,0,0,0,0,0.3,0.2,0,0.2,0.1,0,0,0,0,0,0,4.6,0.17471119,3.097876459,-14.16,12.9458383,53.2,137.2,0.359,4.6,5.431,1.096619629,0.006302,-11.72,-0.0554,2099.85
59,700,1105,Al23Cr20Nb15Ti32Zr10,0.23,0.2,0,0,0,0,0,0,0.32,0,0.1,0.15,0,0,0,0,0,0,0,4.47,0.090373613,6.836171201,-20.172,12.79822685,62.11,119.58,0.3271,4.47,5.2599,1.303637986,-0.02602513,-5.4773,0.025507,2014.55
60,800,560,Al23Cr20Nb15Ti32Zr10,0.23,0.2,0,0,0,0,0,0,0.32,0,0.1,0.15,0,0,0,0,0,0,0,4.47,0.090373613,6.836171201,-20.172,12.79822685,62.11,119.58,0.3271,4.47,5.2599,1.303637986,-0.02602513,-5.4773,0.025507,2014.55
61,1000,130,Al23Cr20Nb15Ti32Zr10,0.23,0.2,0,0,0,0,0,0,0.32,0,0.1,0.15,0,0,0,0,0,0,0,4.47,0.090373613,6.836171201,-20.172,12.79822685,62.11,119.58,0.3271,4.47,5.2599,1.303637986,-0.02602513,-5.4773,0.025507,2014.55
62,1624.08,0,Al23Cr20Nb15Ti32Zr10,0.23,0.2,0,0,0,0,0,0,0.32,0,0.1,0.15,0,0,0,0,0,0,0,4.47,0.090373613,6.836171201,-20.172,12.79822685,62.11,119.58,0.3271,4.47,5.2599,1.303637986,-0.02602513,-5.4773,0.025507,2014.55
63,800,810,Al28Cr20Nb15Ti27Zr10,0.28,0.2,0,0,0,0,0,0,0.27,0,0.1,0.15,0,0,0,0,0,0,0,4.42,0.090572844,6.836697212,-22.012,12.85896845,61.21,117.88,0.3256,4.42,5.1914,1.303637986,-0.02236548,-7.3383,0.024822,1977.8
64,1000,155,Al28Cr20Nb15Ti27Zr10,0.28,0.2,0,0,0,0,0,0,0.27,0,0.1,0.15,0,0,0,0,0,0,0,4.42,0.090572844,6.836697212,-22.012,12.85896845,61.21,117.88,0.3256,4.42,5.1914,1.303637986,-0.02236548,-7.3383,0.024822,1977.8
65,1573.7,0,Al28Cr20Nb15Ti27Zr10,0.28,0.2,0,0,0,0,0,0,0.27,0,0.1,0.15,0,0,0,0,0,0,0,4.42,0.090572844,6.836697212,-22.012,12.85896845,61.21,117.88,0.3256,4.42,5.1914,1.303637986,-0.02236548,-7.3383,0.024822,1977.8
66,25,1300,AlCr0.5NbTiV,0.222222222,0.111111111,0,0,0,0,0,0,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0,0,0,4.666666662,0.037646832,4.825507689,-15.40740738,13.14521343,59.88888883,132.4444443,0.347777777,4.666666662,5.512222217,1.181138601,-0.007158025,-9.62962961,0.000987654,2068.261109
67,600,1005,AlCr0.5NbTiV,0.222222222,0.111111111,0,0,0,0,0,0,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0,0,0,4.666666662,0.037646832,4.825507689,-15.40740738,13.14521343,59.88888883,132.4444443,0.347777777,4.666666662,5.512222217,1.181138601,-0.007158025,-9.62962961,0.000987654,2068.261109
68,800,640,AlCr0.5NbTiV,0.222222222,0.111111111,0,0,0,0,0,0,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0,0,0,4.666666662,0.037646832,4.825507689,-15.40740738,13.14521343,59.88888883,132.4444443,0.347777777,4.666666662,5.512222217,1.181138601,-0.007158025,-9.62962961,0.000987654,2068.261109
69,1000,40,AlCr0.5NbTiV,0.222222222,0.111111111,0,0,0,0,0,0,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0,0,0,4.666666662,0.037646832,4.825507689,-15.40740738,13.14521343,59.88888883,132.4444443,0.347777777,4.666666662,5.512222217,1.181138601,-0.007158025,-9.62962961,0.000987654,2068.261109
70,1704,0,AlCr0.5NbTiV,0.222222222,0.111111111,0,0,0,0,0,0,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0,0,0,4.666666662,0.037646832,4.825507689,-15.40740738,13.14521343,59.88888883,132.4444443,0.347777777,4.666666662,5.512222217,1.181138601,-0.007158025,-9.62962961,0.000987654,2068.261109
71,25,1700,AlCr1.5NbTiV,0.181818182,0.272727273,0,0,0,0,0,0,0.181818182,0.181818182,0,0.181818182,0,0,0,0,0,0,0,4.909090914,0.040696417,6.093392081,-13.75206614,13.25390194,69.90909098,137.4545456,0.322727273,4.909090914,5.810000006,1.181138601,-0.014712397,-4.132231413,0.005950413,2138.240911
72,600,1370,AlCr1.5NbTiV,0.181818182,0.272727273,0,0,0,0,0,0,0.181818182,0.181818182,0,0.181818182,0,0,0,0,0,0,0,4.909090914,0.040696417,6.093392081,-13.75206614,13.25390194,69.90909098,137.4545456,0.322727273,4.909090914,5.810000006,1.181138601,-0.014712397,-4.132231413,0.005950413,2138.240911
73,800,970,AlCr1.5NbTiV,0.181818182,0.272727273,0,0,0,0,0,0,0.181818182,0.181818182,0,0.181818182,0,0,0,0,0,0,0,4.909090914,0.040696417,6.093392081,-13.75206614,13.25390194,69.90909098,137.4545456,0.322727273,4.909090914,5.810000006,1.181138601,-0.014712397,-4.132231413,0.005950413,2138.240911
74,1000,75,AlCr1.5NbTiV,0.181818182,0.272727273,0,0,0,0,0,0,0.181818182,0.181818182,0,0.181818182,0,0,0,0,0,0,0,4.909090914,0.040696417,6.093392081,-13.75206614,13.25390194,69.90909098,137.4545456,0.322727273,4.909090914,5.810000006,1.181138601,-0.014712397,-4.132231413,0.005950413,2138.240911
75,1741,0,AlCr1.5NbTiV,0.181818182,0.272727273,0,0,0,0,0,0,0.181818182,0.181818182,0,0.181818182,0,0,0,0,0,0,0,4.909090914,0.040696417,6.093392081,-13.75206614,13.25390194,69.90909098,137.4545456,0.322727273,4.909090914,5.810000006,1.181138601,-0.014712397,-4.132231413,0.005950413,2138.240911
76,25,1010,AlCrMoNbTi,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0,0,5,0.226238812,5.469783374,-13.6,13.3808668,70.8,149.2,0.322,5,5.902,1.180867888,-0.00588,-5.28,-0.0832,2249.35
77,400,1080,AlCrMoNbTi,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0,0,5,0.226238812,5.469783374,-13.6,13.3808668,70.8,149.2,0.322,5,5.902,1.180867888,-0.00588,-5.28,-0.0832,2249.35
78,600,1060,AlCrMoNbTi,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0,0,5,0.226238812,5.469783374,-13.6,13.3808668,70.8,149.2,0.322,5,5.902,1.180867888,-0.00588,-5.28,-0.0832,2249.35
79,800,860,AlCrMoNbTi,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0,0,5,0.226238812,5.469783374,-13.6,13.3808668,70.8,149.2,0.322,5,5.902,1.180867888,-0.00588,-5.28,-0.0832,2249.35
80,1000,594,AlCrMoNbTi,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0,0,5,0.226238812,5.469783374,-13.6,13.3808668,70.8,149.2,0.322,5,5.902,1.180867888,-0.00588,-5.28,-0.0832,2249.35
81,1200,105,AlCrMoNbTi,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0,0,5,0.226238812,5.469783374,-13.6,13.3808668,70.8,149.2,0.322,5,5.902,1.180867888,-0.00588,-5.28,-0.0832,2249.35
82,1867,0,AlCrMoNbTi,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0,0,5,0.226238812,5.469783374,-13.6,13.3808668,70.8,149.2,0.322,5,5.902,1.180867888,-0.00588,-5.28,-0.0832,2249.35
83,600,930,AlCrMoNbTiB,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0,0,5,0.226238812,5.469783374,-13.6,13.3808668,70.8,149.2,0.322,5,5.902,1.180867888,-0.00588,-5.28,-0.0832,2249.35
84,800,875,AlCrMoNbTiB,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0,0,5,0.226238812,5.469783374,-13.6,13.3808668,70.8,149.2,0.322,5,5.902,1.180867888,-0.00588,-5.28,-0.0832,2249.35
85,1000,550,AlCrMoNbTiB,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0,0,5,0.226238812,5.469783374,-13.6,13.3808668,70.8,149.2,0.322,5,5.902,1.180867888,-0.00588,-5.28,-0.0832,2249.35
